,country,season,location,bpy,visit
211,Brazil,spring,urban,258,yes
212,Iceland,winter,rural,480,no
213,USA,spring,rural,109,no
214,Iceland,summer,urban,90,yes
215,USA,spring,urban,146,no
216,UK,winter,rural,82,no
217,Iceland,summer,urban,33,no
218,Ireland,spring,rural,375,yes
219,USA,summer,rural,278,yes
220,Ireland,spring,urban,484,yes
221,USA,summer,urban,69,no
222,Ireland,spring,rural,153,no
223,Ireland,autumn,urban,460,yes
224,USA,summer,rural,67,yes
225,Iceland,summer,rural,366,yes
226,Ireland,autumn,rural,336,no
227,USA,autumn,urban,289,no
228,Iceland,winter,rural,373,yes
229,Iceland,autumn,urban,392,no
230,Ireland,winter,rural,279,yes
231,Brazil,winter,urban,366,yes
232,Iceland,autumn,urban,106,no
233,USA,winter,rural,88,yes
234,Iceland,summer,rural,91,yes
235,USA,summer,urban,308,no
236,Brazil,spring,urban,129,yes
237,Iceland,spring,urban,313,yes
238,Ireland,autumn,urban,371,yes
239,Ireland,spring,urban,388,no
240,Iceland,spring,rural,329,no
241,Iceland,summer,urban,291,no
242,Brazil,summer,rural,346,yes
243,UK,summer,urban,199,yes
244,UK,spring,rural,129,no
245,UK,summer,rural,109,yes
246,USA,autumn,rural,173,no
247,Ireland,summer,urban,412,no
248,Iceland,spring,rural,360,no
249,USA,autumn,urban,322,no
250,Iceland,autumn,rural,423,yes
251,USA,autumn,rural,158,no
252,USA,summer,urban,252,no
253,UK,summer,rural,46,no
254,Ireland,spring,rural,427,yes
255,Iceland,winter,rural,47,no
256,Brazil,autumn,urban,10,yes
257,UK,winter,urban,329,no
258,Iceland,summer,rural,461,yes
259,Brazil,summer,urban,184,no
260,USA,spring,rural,481,no
261,Iceland,summer,rural,453,yes
262,Brazil,autumn,rural,317,yes
263,UK,autumn,urban,298,yes
264,Ireland,spring,urban,133,yes
265,USA,winter,rural,472,no
266,Brazil,autumn,rural,333,yes
267,USA,autumn,urban,188,no
268,Brazil,spring,rural,308,no
269,UK,spring,rural,494,no
270,Brazil,autumn,rural,16,yes
271,Brazil,spring,urban,115,yes
272,UK,winter,urban,267,no
273,Iceland,winter,urban,287,yes
274,UK,summer,rural,414,yes
275,USA,summer,rural,33,no
276,Ireland,winter,urban,271,no
277,USA,winter,rural,425,no
278,Brazil,autumn,rural,309,yes
279,Ireland,autumn,rural,198,no
280,USA,spring,rural,445,yes
281,Ireland,autumn,urban,49,no
282,UK,winter,rural,456,yes
283,Ireland,winter,urban,246,no
284,Iceland,winter,urban,183,no
285,Brazil,winter,rural,89,yes
286,Iceland,summer,rural,232,no
287,Brazil,winter,rural,145,yes
288,Iceland,summer,rural,301,yes
289,USA,summer,urban,305,yes
290,Brazil,autumn,urban,26,yes
291,Brazil,autumn,urban,173,no
292,Brazil,spring,urban,92,no
293,Ireland,winter,urban,126,no
294,USA,spring,rural,211,yes
295,Brazil,summer,urban,384,yes
296,USA,winter,rural,200,yes
297,UK,autumn,urban,432,no
298,Brazil,autumn,rural,435,no
299,Iceland,summer,urban,467,no
300,Iceland,winter,urban,161,yes
301,Iceland,summer,rural,85,yes
302,Ireland,summer,rural,234,no
303,Ireland,winter,rural,203,no
304,Brazil,autumn,urban,220,no
305,Brazil,summer,rural,345,no
306,USA,spring,urban,5,no
307,UK,autumn,rural,464,yes
308,USA,autumn,rural,85,yes
309,UK,summer,urban,88,no
310,Brazil,summer,urban,46,yes
311,Brazil,autumn,rural,203,yes
312,USA,spring,rural,427,yes
313,USA,spring,urban,203,yes
314,Iceland,summer,rural,396,no
315,USA,spring,rural,440,yes
316,Ireland,autumn,rural,405,no
317,UK,spring,urban,134,no
318,USA,autumn,urban,173,no
319,USA,spring,urban,23,yes
320,Brazil,summer,urban,262,yes
321,UK,spring,rural,148,no
322,Ireland,spring,rural,295,no
323,USA,autumn,urban,342,no
324,Ireland,winter,rural,417,yes
325,Brazil,autumn,urban,442,no
326,USA,spring,rural,33,yes
327,Brazil,autumn,urban,282,yes
328,USA,winter,rural,28,yes
329,Iceland,winter,urban,203,yes
330,Ireland,spring,rural,399,yes
331,USA,summer,rural,88,no
332,Ireland,winter,rural,342,no
333,UK,summer,rural,440,no
334,Ireland,autumn,urban,453,no
335,UK,spring,urban,30,yes
336,USA,spring,rural,59,no
337,UK,autumn,rural,235,yes
338,UK,winter,rural,334,yes
339,Ireland,winter,urban,381,no
340,Iceland,autumn,urban,148,no
341,USA,spring,urban,473,yes
342,Brazil,autumn,urban,403,yes
343,Ireland,summer,urban,472,no
344,Brazil,winter,urban,261,yes
345,USA,winter,urban,451,yes
346,Ireland,autumn,rural,452,no
347,Brazil,spring,rural,238,yes
348,UK,autumn,urban,83,yes
349,Brazil,spring,rural,419,no
350,Ireland,winter,urban,4,yes
351,Ireland,spring,rural,251,no
352,Iceland,spring,urban,366,no
353,UK,summer,urban,315,no
354,Brazil,winter,urban,110,yes
355,Brazil,summer,urban,464,no
356,Ireland,summer,urban,465,no
357,UK,autumn,urban,209,yes
358,Brazil,autumn,urban,343,no
359,Ireland,spring,urban,497,yes
360,UK,spring,rural,420,no
361,Ireland,autumn,rural,301,no
362,Brazil,spring,urban,74,no
363,UK,spring,urban,261,no
364,Brazil,summer,rural,456,no
365,Brazil,summer,urban,330,yes
366,Ireland,autumn,urban,251,yes
367,Ireland,winter,urban,230,no
368,Brazil,autumn,urban,111,yes
369,Ireland,spring,urban,261,no
370,Iceland,autumn,rural,372,yes
371,Iceland,spring,rural,237,yes
372,Ireland,autumn,urban,391,yes
373,Ireland,spring,rural,260,no
374,UK,autumn,urban,356,no
375,Brazil,winter,urban,291,yes
376,Brazil,summer,urban,137,yes
377,Iceland,winter,urban,288,yes
378,USA,autumn,rural,487,no
379,Iceland,summer,urban,225,yes
380,Iceland,autumn,urban,146,yes
381,Brazil,spring,rural,335,yes
382,UK,summer,rural,63,no
383,Ireland,summer,urban,159,no
384,USA,winter,rural,246,no
385,Iceland,summer,urban,436,yes
386,Brazil,autumn,rural,264,no
387,UK,summer,urban,179,yes
388,Iceland,autumn,rural,51,no
389,USA,summer,rural,338,yes
390,USA,spring,rural,261,yes
391,USA,spring,urban,314,yes
392,UK,summer,urban,354,no
393,Ireland,winter,urban,383,no
394,Iceland,autumn,rural,145,no
395,Ireland,autumn,rural,396,no
396,Ireland,summer,urban,353,yes
397,Ireland,winter,rural,421,yes
398,Ireland,summer,urban,341,no
399,Brazil,winter,rural,391,yes
400,USA,autumn,urban,480,no
401,Iceland,summer,urban,34,no
402,Brazil,spring,rural,184,yes
403,UK,spring,urban,498,no
404,Ireland,autumn,rural,24,yes
405,Ireland,winter,rural,196,yes
406,Brazil,summer,rural,127,yes
407,UK,spring,rural,267,yes
408,Iceland,spring,rural,402,yes
409,UK,summer,rural,472,no
410,USA,autumn,urban,428,yes
411,Ireland,summer,urban,379,yes
412,Iceland,autumn,rural,327,yes
413,Brazil,summer,urban,299,yes
414,Ireland,summer,rural,182,no
415,USA,spring,urban,395,no
416,Brazil,winter,urban,24,yes
417,UK,spring,urban,337,no
418,UK,spring,rural,388,yes
419,Ireland,summer,urban,145,no
420,Ireland,autumn,rural,44,no
421,Brazil,winter,rural,111,no
422,USA,winter,rural,415,yes
423,USA,summer,rural,303,yes
424,Brazil,spring,urban,292,no
425,UK,winter,urban,266,yes
426,Brazil,spring,urban,457,yes
427,Iceland,winter,urban,137,yes
428,Iceland,spring,rural,193,yes
429,UK,spring,rural,249,yes
430,Brazil,autumn,rural,33,no
431,UK,spring,urban,127,no
432,UK,summer,rural,344,no
433,USA,winter,urban,456,no
434,Iceland,summer,urban,497,no
435,UK,spring,urban,394,yes
436,USA,winter,urban,18,yes
437,Brazil,autumn,urban,100,no
438,USA,winter,urban,192,no
439,USA,winter,rural,35,yes
440,UK,summer,rural,65,no
441,USA,summer,rural,276,no
442,Ireland,summer,rural,17,yes
443,Brazil,summer,urban,397,yes
444,Brazil,winter,urban,291,yes
445,UK,winter,rural,242,yes
446,UK,spring,rural,265,yes
447,Ireland,summer,rural,41,no
448,Ireland,spring,rural,39,yes
449,Brazil,autumn,rural,17,no
450,UK,spring,urban,448,yes
451,UK,winter,rural,422,yes
452,Iceland,winter,rural,53,no
453,Iceland,autumn,rural,313,no
454,Ireland,autumn,rural,174,no
455,USA,autumn,urban,354,yes
456,Brazil,winter,urban,352,yes
457,USA,autumn,rural,19,yes
458,USA,summer,urban,243,no
459,UK,summer,urban,116,yes
460,Ireland,winter,urban,402,yes
461,UK,spring,rural,475,no
462,UK,autumn,urban,265,yes
463,Ireland,summer,urban,287,no
464,UK,summer,rural,236,yes
465,Brazil,summer,urban,99,no
466,Iceland,autumn,rural,21,yes
467,Iceland,winter,rural,221,no
468,Ireland,winter,rural,178,no
469,UK,autumn,urban,130,no
470,Brazil,spring,rural,268,no
471,Iceland,summer,urban,123,no
472,USA,autumn,rural,499,yes
473,USA,winter,rural,294,yes
474,Brazil,summer,rural,438,yes
475,Ireland,spring,urban,230,no
476,Iceland,winter,urban,117,yes
477,UK,winter,urban,39,yes
478,Iceland,spring,urban,227,no
479,Brazil,winter,urban,279,no
480,Ireland,autumn,rural,226,no
481,Iceland,spring,urban,105,yes
482,UK,winter,rural,337,no
483,Ireland,autumn,urban,241,no
484,Iceland,summer,urban,114,no
485,UK,autumn,urban,486,no
486,Iceland,autumn,rural,322,yes
487,Iceland,summer,rural,302,yes
488,USA,spring,rural,82,no
489,USA,winter,urban,220,yes
490,Iceland,autumn,urban,56,no
491,Iceland,summer,urban,196,no
492,Brazil,winter,urban,488,yes
493,Iceland,spring,urban,495,no
494,Iceland,autumn,rural,133,no
495,USA,autumn,urban,444,no
496,Brazil,summer,urban,45,yes
497,Iceland,winter,rural,389,yes
498,Brazil,autumn,urban,264,no
499,Ireland,spring,rural,378,no
